procedureName;procedureSequence;abbreviation;correspondance
ps_Exec_Export_AC;3672;exac;xx_524_e36exac72c
ps_Exec_Export_AE;2376;exae;xx_524_e23exae76e
ps_Exec_Export_AG;2328;exag;xx_524_e23exag28g
ps_Exec_Export_AR;3474;exar;xx_524_e34exar74r
ps_Exec_Export_AT;3559;exat;xx_524_e35exat59t
ps_Exec_Export_AutorisationEngagement;3987;eaen;xx_524_e39eaen87t
ps_Exec_Export_BA;3335;exba;xx_524_e33exba35a
ps_Exec_Export_BC;2275;exbc;xx_524_e22exbc75c
ps_Exec_Export_BC_New;3160;ebne;xx_524_e31ebne60w
ps_Exec_Export_bonExporte;2536;ebex;xx_524_e25ebex36e
ps_Exec_Export_bonExporte_New;3915;eben;xx_524_e39eben15w
ps_Exec_Export_bonRetransmettre;3100;ebre;xx_524_e31ebre00e
ps_Exec_Export_bonRetransmettre_New;3222;ebrn;xx_524_e32ebrn22w
ps_Exec_Export_CA;2519;exca;xx_524_e25exca19a
ps_Exec_Export_CB;3715;excb;xx_524_e37excb15b
ps_Exec_Export_DA;3379;exda;xx_524_e33exda79a
ps_Exec_Export_DA_SE;1944;edse;xx_524_e19edse44e
ps_Exec_Export_DA_Semestre;2811;edse;xx_524_e28edse11e
ps_Exec_Export_DATA;2621;exda;xx_524_e26exda21a
ps_Exec_Export_DATA_COL;3432;edco;xx_524_e34edco32l
ps_Exec_Export_DP;2276;exdp;xx_524_e22exdp76p
ps_exec_Export_Ebon;2791;eeeb;xx_237_e27eeeb91n
ps_Exec_Export_EC;2397;exec;xx_524_e23exec97c
ps_Exec_Export_EN;2857;exen;xx_524_e28exen57n
ps_Exec_Export_getDate;1921;egda;xx_524_e19egda21e
ps_Exec_Export_getDate_New;3036;egdn;xx_524_e30egdn36w
ps_Exec_Export_LI;3342;exli;xx_524_e33exli42i
ps_Exec_Export_OC;4000;exoc;xx_524_e40exoc00c
ps_Exec_Export_OR;2215;exor;xx_524_e22exor15r
ps_Exec_Export_OR_OLD_VERSION;3642;eoov;xx_524_e36eoov42n
ps_Exec_Export_PG;3041;expg;xx_524_e30expg41g
ps_Exec_Export_SE;2330;exse;xx_524_e23exse30e
ps_Exec_Export_VI2;3373;ev2e;xx_524_e33ev2e732
ps_Exec_ExtractData;3161;exda;xx_524_e31exda61a
